TERYT,Jednostka terytorialna,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
121400,proszowicki,26991,35189,35189,0,12412,14579,14579,0,20,36,0,0,0,0,0,0,0,14578,0,0,14578,149,92,57,0,14429,2539,84,42,,9264,,378,430,1645,47
121500,suski,51224,66927,66927,0,20767,30457,30457,0,26,235,0,0,0,0,0,0,0,30455,0,0,30455,362,238,124,0,30093,5986,221,132,,20110,,938,1262,1232,212
121600,tarnowski,121590,159302,159299,3,49399,72190,72188,2,56,250,5,4,0,0,0,0,4,72189,4,0,72189,854,539,315,0,71335,11841,493,209,,50900,,1745,2899,2803,445
121700,tatrzański,40648,54484,54480,4,15785,24863,24860,3,29,1576,3,3,0,0,0,0,3,24864,3,0,24864,166,92,74,0,24698,6224,169,81,,15287,,711,1037,1062,127
121800,wadowicki,96159,126325,126320,5,38266,57890,57888,2,71,278,5,5,1,0,0,0,4,57893,4,2,57891,565,345,220,0,57326,14637,530,267,,33812,,2494,2426,2677,483
121900,wielicki,73401,97204,97194,10,25528,47873,47865,8,36,189,2,2,0,0,0,0,2,47870,2,3,47867,356,208,148,0,47511,14379,411,147,,25262,,2448,2282,2124,458
126100,Kraków,450067,586275,586105,170,119227,330811,330725,86,342,3404,101,93,8,0,0,0,86,330852,86,98,330754,1575,784,791,0,329179,144615,4690,1038,,118494,,27632,16439,12309,3962
126200,Nowy Sącz,50115,64963,64960,3,17384,32731,32730,1,29,163,2,2,0,0,0,0,2,32727,1,1,32726,193,104,89,0,32533,9732,236,129,,17829,,1634,1458,1290,225
126300,Tarnów,69178,88970,88966,4,26026,43152,43151,1,87,174,17,16,0,0,0,0,16,43164,16,1,43163,269,150,119,0,42894,15986,356,150,,20129,,2142,2313,1466,352
140100,białobrzeski,20459,26881,26880,1,8904,11554,11554,0,6,84,1,1,0,0,0,0,1,11556,1,0,11556,134,78,56,0,11422,2462,54,,20,7919,,236,358,326,47
140200,ciechanowski,55285,71725,71722,3,26432,28852,28852,0,31,123,2,2,0,0,0,0,2,28851,2,0,28851,309,181,128,0,28542,8763,215,,71,16316,,1116,1066,772,223
140300,garwoliński,65719,85629,85626,3,26705,39014,39011,3,26,201,0,0,0,0,0,0,0,39014,0,0,39014,409,234,175,0,38605,6846,211,,97,27018,,1071,1492,1605,265
140400,gostyniński,28821,37017,37016,1,14461,14359,14358,1,13,70,1,1,0,0,0,0,1,14360,1,0,14360,178,108,70,0,14182,3991,92,,53,8453,,624,447,423,99
140500,grodziski,54693,71481,71458,23,16422,38320,38310,10,28,283,32,31,0,0,0,0,31,38345,31,6,38339,216,131,85,0,38123,15288,542,,,14628,,3603,1804,1654,604
140600,grójecki,60393,78619,78614,5,25997,34394,34390,4,35,219,0,0,0,0,0,0,0,34389,0,0,34389,308,175,133,0,34081,9841,244,,108,19252,,1545,1622,1209,260
140700,kozienicki,38697,50076,50074,2,16703,21994,21993,1,30,110,1,1,0,0,0,0,1,21995,1,0,21995,205,130,75,0,21790,4874,161,,53,14183,,800,841,733,145
140800,legionowski,67453,88041,88028,13,19720,47732,47723,9,34,291,1,1,0,0,0,0,1,47729,1,2,47727,336,196,140,0,47391,20107,642,,,17624,,4213,2060,1871,874
140900,lipski,22252,28465,28465,0,11312,10940,10940,0,8,58,0,0,0,0,0,0,0,10940,0,0,10940,146,89,57,0,10794,2208,94,,31,7218,,286,518,369,70
141000,łosicki,19890,25513,25512,1,9276,10613,10612,1,14,72,1,1,0,0,0,0,1,10614,1,0,10614,103,52,51,0,10511,1816,82,,39,7337,,251,505,415,66
141100,makowski,28099,36606,36605,1,13032,15066,15065,1,17,128,1,1,0,0,0,0,1,15065,1,0,15065,182,112,70,0,14883,3487,84,,35,9926,,321,553,398,79
141200,miński,90837,118499,118495,4,33181,57655,57653,2,28,383,2,1,0,0,0,0,1,57652,1,5,57647,483,245,238,0,57164,17753,625,,160,29648,,3055,2965,2253,705
141300,mławski,44372,57775,57773,2,22341,22031,22029,2,21,89,1,1,0,0,0,0,1,22032,1,1,22031,240,158,82,0,21791,6068,154,,75,13006,,887,832,619,150
141400,nowodworski,47773,62219,62216,3,20373,27400,27398,2,21,188,1,0,0,0,0,0,0,27391,0,1,27390,259,161,98,0,27131,9143,295,,,12869,,2148,1181,1146,349
141500,ostrołęcki,54149,70658,70657,1,26767,27383,27382,1,33,112,0,0,0,0,0,0,0,27383,0,0,27383,330,187,143,0,27053,5248,150,,65,18691,,607,1072,1051,169
141600,ostrowski,45423,58910,58908,2,20776,24647,24645,2,46,151,0,0,0,0,0,0,0,24647,0,0,24647,210,124,86,0,24437,5286,127,,45,16514,,742,894,677,152
141700,otwocki,73508,95408,95389,19,22201,51307,51299,8,33,298,3,2,0,0,0,0,2,51315,2,3,51312,433,237,196,0,50879,16434,585,,,24292,,3709,2543,2509,807
141800,piaseczyński,103863,135494,135442,52,28288,75573,75545,28,36,590,8,7,0,0,0,0,7,75578,7,2,75576,539,268,271,0,75037,33677,947,,,26209,,6776,3271,2986,1171
141900,płocki,68652,88474,88470,4,34650,34002,34001,1,41,102,2,2,0,0,0,0,2,34004,2,1,34003,433,238,195,0,33570,8959,226,,107,20408,,1421,1086,1052,311
142000,płoński,53879,70242,70239,3,28487,25394,25392,2,24,204,4,4,0,0,0,0,4,25398,4,0,25398,351,187,164,0,25047,7020,206,,69,14862,,1057,908,714,211
142100,pruszkowski,96480,124710,124665,45,24502,71976,71957,19,34,436,25,25,0,0,0,0,25,72000,25,3,71997,417,221,196,0,71580,29921,952,,,25851,,6665,3329,3656,1206
142200,przasnyski,32334,41514,41514,0,16633,15701,15701,0,24,84,0,0,0,0,0,0,0,15701,0,0,15701,164,98,66,0,15537,3881,107,,43,9994,,374,651,395,92
142300,przysuski,26915,34756,34755,1,10814,16101,16101,0,33,118,0,0,0,0,0,0,0,16100,0,0,16100,180,104,76,0,15920,2469,93,,35,11664,,316,495,774,74
142400,pułtuski,31782,41270,41268,2,14974,16809,16808,1,27,89,0,0,0,0,0,0,0,16809,0,0,16809,188,102,86,0,16621,4933,94,,40,9827,,578,637,396,116
142500,radomski,93108,120293,120291,2,40664,52444,52443,1,43,155,2,2,0,0,0,0,2,52446,2,1,52445,422,241,181,0,52023,9600,276,,126,36459,,1677,1990,1523,372
142600,siedlecki,49886,64899,64899,0,20773,29113,29113,0,17,115,0,0,0,0,0,0,0,29113,0,0,29113,289,158,131,0,28824,4093,199,,72,21239,,671,1423,891,236
142700,sierpecki,32578,41702,41701,1,17415,15162,15161,1,31,60,0,0,0,0,0,0,0,15161,0,0,15161,191,115,76,0,14970,3993,107,,39,9170,,612,522,413,114
142800,sochaczewski,51456,66305,66304,1,22244,29212,29211,1,27,102,0,0,0,0,0,0,0,29213,0,0,29213,242,141,101,0,28971,8470,262,,62,16199,,1406,1157,857,558
142900,sokołowski,35193,44848,44848,0,14863,20330,20330,0,20,123,1,1,0,0,0,0,1,20331,1,3,20328,145,72,73,0,20183,4155,115,,47,13995,,529,753,479,110
143000,szydłowiecki,24680,32049,32048,1,11226,13454,13454,0,19,40,2,2,0,0,0,0,2,13455,2,0,13455,127,84,43,0,13328,2309,111,,32,9488,,400,494,391,103
143200,warszawski zachodni,68298,88960,88939,21,19150,49156,49143,13,40,357,3,2,0,0,0,0,2,49154,2,14,49140,305,180,125,0,48835,19628,681,,,19121,,4279,2431,1906,789
143300,węgrowski,41526,53523,53522,1,17792,23734,23733,1,15,156,1,1,0,0,0,0,1,23735,1,0,23735,275,145,130,0,23460,5135,108,,53,16057,,584,827,586,110
143400,wołomiński,139257,181965,181952,13,48478,90776,90769,7,35,392,5,5,0,0,0,0,5,90767,5,9,90758,683,352,331,0,90075,26024,1050,,,45252,,6913,5034,4325,1477
143500,wyszkowski,45400,58487,58481,6,19592,25818,25814,4,38,262,0,0,0,0,0,0,0,25816,0,2,25814,258,158,100,0,25556,6958,163,,61,15472,,795,1233,715,159
143600,zwoleński,22921,29560,29560,0,11146,11774,11774,0,13,47,0,0,0,0,0,0,0,11774,0,0,11774,127,80,47,0,11647,2225,72,,41,8096,,353,429,349,82
143700,żuromiński,24376,31525,31524,1,12801,11575,11575,0,18,55,1,1,0,0,0,0,1,11575,1,0,11575,154,102,52,0,11421,3209,66,,21,7039,,419,282,314,71
143800,żyrardowski,45718,58466,58461,5,19208,26510,26507,3,29,132,2,1,0,0,0,0,1,26510,1,1,26509,245,135,110,0,26264,8702,297,,92,13041,,1702,1236,888,306
146100,Ostrołęka,32104,41014,41011,3,13461,18643,18641,2,15,64,3,3,0,0,0,0,3,18645,3,0,18645,135,72,63,0,18510,5835,126,,41,9314,,755,885,1411,143
146200,Płock,73815,94115,94112,3,29131,44683,44681,2,42,151,6,6,0,0,0,0,6,44683,4,0,44683,310,188,122,0,44373,19025,408,,93,18843,,2893,1537,1241,333
146300,Radom,126329,163344,163340,4,45763,80565,80562,3,52,222,12,12,1,0,0,0,11,80568,11,9,80559,422,232,190,0,80137,28347,677,,205,40585,,3875,3373,2521,554
146400,Siedlce,46553,59929,59926,3,17263,29290,29288,2,12,81,1,1,0,0,0,0,1,29290,1,2,29288,158,72,86,0,29130,9145,428,,80,14925,,1344,1840,1069,299
146501,Warszawa,1043174,1346633,1345906,727,200899,842537,842166,371,753,8976,142,138,5,1,1,5,126,842309,125,290,842019,3537,1735,1802,0,838482,419607,16599,,,233422,,89734,37261,27179,14680
149900,zagranica,136522,111630,111616,14,38271,98262,98248,14,0,5233,0,0,0,0,0,0,0,98249,0,15,98234,565,177,388,0,97669,35840,2483,,,28474,,14396,12856,2589,1031
160100,brzeski,53447,70612,70612,0,24539,28908,28908,0,27,76,2,2,0,0,0,0,2,28906,2,0,28906,189,100,89,0,28717,10108,278,,,12629,,1303,1192,3207,
160200,głubczycki,28978,37184,37183,1,15056,13921,13921,0,14,95,1,1,0,0,0,0,1,13921,1,1,13920,135,83,52,0,13785,4693,148,,,7316,,497,584,547,
160300,kędzierzyńsko-kozielski,56363,73901,73901,0,28832,27532,27532,0,23,165,3,3,0,0,0,0,3,27534,3,0,27534,265,132,133,0,27269,12650,354,,,9252,,2255,1459,1299,
160400,kluczborski,40488,52857,52857,0,20820,19667,19667,0,29,114,1,1,0,0,0,0,1,19666,1,0,19666,181,120,61,0,19485,9178,167,,,7809,,777,855,699,
160500,krapkowicki,38229,50723,50723,0,22963,15266,15266,0,9,57,0,0,0,0,0,0,0,15265,0,0,15265,167,101,66,0,15098,7565,201,,,4999,,799,736,798,
160600,namysłowski,26277,34201,34199,2,12820,13458,13457,1,11,64,0,0,0,0,0,0,0,13458,0,0,13458,109,62,47,0,13349,5228,161,,,6259,,616,558,527,
160700,nyski,85727,111621,111619,2,42574,43154,43153,1,55,234,4,4,0,0,0,0,4,43155,4,0,43155,369,232,137,0,42786,15680,462,,,21062,,1697,1742,2143,
160800,oleski,39507,52518,52515,3,21296,18211,18211,0,14,169,0,0,0,0,0,0,0,18211,0,0,18211,192,111,81,0,18019,7502,197,,,7871,,805,877,767,
160900,opolski,75110,98892,98882,10,42397,32714,32711,3,25,158,0,0,0,0,0,0,0,32712,0,0,32712,349,194,155,0,32363,16343,407,,,10508,,1641,1425,2039,
161000,prudnicki,34149,44216,44214,2,18410,15749,15749,0,14,47,0,0,0,0,0,0,0,15748,0,0,15748,158,93,65,0,15590,5727,182,,,7402,,573,708,998,
161100,strzelecki,46705,61119,61118,1,27458,19247,19246,1,15,189,1,1,0,0,0,0,1,19247,1,0,19247,212,122,90,0,19035,9165,248,,,6927,,841,1003,851,
166100,Opole,77795,99384,99377,7,27191,50600,50595,5,57,383,2,2,0,0,0,0,2,50594,2,7,50587,245,111,134,0,50342,28620,695,,,12741,,3374,2405,2507,
180100,bieszczadzki,13749,18011,18009,2,7066,6683,6683,0,9,155,0,0,0,0,0,0,0,6683,0,0,6683,74,47,27,0,6609,2092,56,20,,3462,,289,497,193,
180200,brzozowski,40587,52817,52815,2,18426,22161,22159,2,37,95,0,0,0,0,0,0,0,22161,0,0,22161,200,129,71,0,21961,2721,109,61,,16970,,382,1090,628,
180300,dębicki,82972,107595,107591,4,34607,48365,48364,1,40,118,1,1,0,0,0,0,1,48364,1,3,48361,452,295,157,0,47909,9127,333,205,,32550,,1415,2685,1594,
180400,jarosławski,74715,97568,97568,0,32819,41896,41896,0,50,222,1,1,0,0,0,0,1,41892,1,0,41892,419,260,159,0,41473,8428,268,151,,28170,,974,2255,1227,
180500,jasielski,71369,92970,92968,2,30178,41193,41192,1,35,169,0,0,0,0,0,0,0,41190,0,1,41189,349,228,121,0,40840,7046,250,121,,29102,,1120,1987,1214,
180600,kolbuszowski,38844,50239,50238,1,17800,21044,21043,1,16,83,1,1,0,0,0,0,1,21045,1,1,21044,222,144,78,0,20822,2694,112,48,,15518,,385,1450,615,
180700,krośnieński,70162,90711,90708,3,31023,39139,39139,0,37,724,0,0,0,0,0,0,0,39137,0,0,39137,324,194,130,0,38813,6999,221,107,,26824,,1209,2116,1337,
180800,leżajski,43044,55682,55682,0,18267,24776,24776,0,30,72,0,0,0,0,0,0,0,24774,0,1,24773,205,139,66,0,24568,3197,139,55,,18351,,440,1589,797,
180900,lubaczowski,35352,45763,45762,1,16853,18499,18498,1,25,127,0,0,0,0,0,0,0,18499,0,2,18497,224,146,78,0,18273,3501,153,90,,12547,,534,865,583,
181000,łańcucki,49000,63963,63963,0,19040,29957,29957,0,25,104,0,0,0,0,0,0,0,29957,0,0,29957,205,122,83,0,29752,4422,261,77,,21378,,700,1890,1024,
181100,mielecki,83282,107963,107960,3,34041,49241,49239,2,51,225,5,5,0,0,0,0,5,49245,5,0,49245,410,256,154,0,48835,10530,334,125,,32934,,1305,2270,1337,
181200,niżański,41868,54394,54394,0,19943,21914,21914,0,24,66,2,2,0,0,0,0,2,21916,2,0,21916,232,165,67,0,21684,3106,124,76,,15575,,668,1451,684,
181300,przemyski,46167,60187,60185,2,23091,23076,23075,1,25,153,0,0,0,0,0,0,0,23076,0,0,23076,301,188,113,0,22775,4259,165,77,,15539,,531,1327,877,
181400,przeworski,48654,63576,63576,0,22507,26147,26147,0,36,83,1,1,0,0,0,0,1,26146,1,0,26146,249,156,93,0,25897,4518,182,76,,18417,,531,1284,889,
181500,ropczycko-sędziszowski,45078,58754,58753,1,17938,27140,27140,0,24,68,0,0,0,0,0,0,0,27140,0,2,27138,262,159,103,0,26876,3563,148,73,,20087,,544,1625,836,
181600,rzeszowski,101063,132355,132353,2,37731,63332,63332,0,52,175,2,2,0,0,0,0,2,63326,2,4,63322,537,318,219,0,62785,10047,432,194,,44608,,1459,3754,2291,
181700,sanocki,58636,76145,76145,0,27925,30709,30709,0,36,159,2,2,0,0,0,0,2,30707,2,9,30698,253,158,95,0,30445,8255,203,96,,18507,,947,1546,891,
181800,stalowowolski,65671,84696,84695,1,29442,36228,36228,0,53,143,2,2,0,0,0,0,2,36229,2,0,36229,286,185,101,0,35943,8435,221,123,,22116,,1312,2551,1185,
181900,strzyżowski,38056,49807,49807,0,16672,21384,21384,0,17,80,0,0,0,0,0,0,0,21384,0,0,21384,208,122,86,0,21176,2823,143,76,,15239,,712,1463,720,
182000,tarnobrzeski,33700,43745,43745,0,15863,17837,17837,0,24,98,1,1,1,0,0,0,0,17837,0,0,17837,189,113,76,0,17648,3425,136,66,,11970,,487,963,601,
182100,leski,17801,23069,23067,2,8016,9785,9784,1,21,582,0,0,0,0,0,0,0,9785,0,0,9785,89,65,24,0,9696,2716,70,32,,5790,,348,473,267,
186100,Krosno,29003,37614,37614,0,11377,17626,17626,0,27,77,1,1,0,0,0,0,1,17623,1,6,17617,84,49,35,0,17533,5991,122,37,,8617,,1079,1131,556,
186200,Przemyśl,38377,49106,49106,0,17679,20698,20698,0,25,117,2,2,0,0,0,0,2,20697,2,1,20696,127,68,59,0,20569,7395,178,101,,9786,,785,1346,978,
186300,Rzeszów,114481,147686,147681,5,37060,77421,77419,2,54,498,14,14,1,0,0,0,13,77423,13,3,77420,382,199,183,0,77038,29122,802,225,,34160,,3870,5464,3395,
186400,Tarnobrzeg,29322,37695,37694,1,12595,16726,16726,0,24,49,2,2,0,0,0,0,2,16729,2,0,16729,113,64,49,0,16616,6576,146,76,,7562,,855,904,497,
200100,augustowski,35379,46698,46697,1,18304,17075,17074,1,25,279,0,0,0,0,0,0,0,17074,0,1,17073,136,64,72,0,16937,4835,203,,,10021,,577,683,618,
200200,białostocki,90429,118547,118542,5,39049,51379,51376,3,46,226,3,3,0,0,0,0,3,51381,3,0,51381,456,226,230,0,50925,15380,584,,,28101,,1861,2906,2093,
200300,bielski,34833,45551,45549,2,17754,17079,17079,0,44,74,2,2,0,0,0,0,2,17080,2,1,17079,151,87,64,0,16928,4862,351,,,9807,,826,624,458,
200400,grajewski,28961,38035,38035,0,15549,13412,13412,0,13,67,0,0,0,0,0,0,0,13412,0,0,13412,160,99,61,0,13252,3158,140,,,8416,,371,792,375,
200500,hajnowski,28180,36916,36915,1,16308,11872,11872,0,4,165,3,3,0,0,0,0,3,11874,3,0,11874,134,83,51,0,11740,5650,271,,,3829,,942,547,501,
200600,kolneński,23441,30956,30956,0,12551,10890,10890,0,6,34,4,4,0,0,0,0,4,10894,4,0,10894,116,77,39,0,10778,1734,115,,,7801,,335,469,324,
200700,łomżyński,31024,41203,41202,1,15484,15540,15540,0,19,81,0,0,0,0,0,0,0,15538,0,0,15538,152,83,69,0,15386,2335,115,,,11450,,316,722,448,
200800,moniecki,25459,33498,33494,4,13860,11599,11597,2,25,70,3,3,0,0,0,0,3,11602,3,0,11602,109,66,43,0,11493,2489,113,,,7761,,269,535,326,
200900,sejneński,12525,16736,16730,6,7005,5520,5520,0,14,118,0,0,0,0,0,0,0,5520,0,0,5520,44,30,14,0,5476,2014,85,,,2693,,237,238,209,
201000,siemiatycki,28642,37489,37485,4,15275,13367,13365,2,17,149,2,2,1,0,0,0,1,13367,1,0,13367,130,95,35,0,13237,3645,176,,,7856,,528,606,426,
201100,sokólski,41914,55490,55484,6,21945,19968,19967,1,30,126,0,0,0,0,0,0,0,19967,0,0,19967,166,96,70,0,19801,4756,214,,,12553,,621,1006,651,
201200,suwalski,21987,29137,29137,0,11367,10619,10619,0,13,113,0,0,0,0,0,0,0,10618,0,0,10618,95,63,32,0,10523,2573,145,,,6441,,345,460,559,
201300,wysokomazowiecki,35496,46625,46625,0,15961,19535,19535,0,13,82,1,1,0,0,0,0,1,19534,1,0,19534,184,121,63,0,19350,2888,173,,,14556,,353,868,512,
201400,zambrowski,27488,35792,35792,0,13691,13797,13797,0,11,55,0,0,0,0,0,0,0,13797,0,0,13797,114,60,54,0,13683,3059,142,,,9002,,304,702,474,
206100,Białystok,168689,220702,220701,1,59138,109543,109542,1,95,569,22,21,3,0,0,0,18,109552,16,8,109544,647,317,330,0,108897,45508,1690,,,45501,,5583,6779,3836,
206200,Łomża,36892,48054,48054,0,16829,20063,20063,0,12,71,1,1,0,0,0,0,1,20064,1,0,20064,120,46,74,0,19944,6469,181,,,10851,,774,1010,659,
206300,Suwałki,41442,53774,53771,3,19737,21706,21703,3,39,120,0,0,0,0,0,0,0,21705,0,0,21705,150,82,68,0,21555,8187,282,,,10134,,1003,1047,902,
220100,bytowski,46379,60855,60846,9,23042,23536,23532,4,16,205,3,3,0,0,0,0,3,23538,3,2,23536,252,158,94,0,23284,9288,173,,,10564,,1758,809,525,167
220200,chojnicki,56457,73904,73903,1,24939,31518,31517,1,29,204,2,2,0,0,0,0,2,31518,2,0,31518,299,179,120,0,31219,12474,244,,,14608,,1610,1195,814,274
220300,człuchowski,34923,45089,45085,4,18993,15929,15927,2,14,97,0,0,0,0,0,0,0,15929,0,0,15929,232,154,78,0,15697,6954,210,,,6148,,1236,584,396,169
220400,gdański,64196,84869,84863,6,25327,38866,38864,2,25,259,2,2,0,0,0,0,2,38864,2,1,38863,325,198,127,0,38538,21110,390,,,11489,,2162,1673,1274,440
220500,kartuski,74064,98643,98639,4,26725,47326,47324,2,18,502,11,11,0,0,0,0,11,47334,11,3,47331,414,238,176,0,46917,18857,340,,,22247,,1864,1716,1482,411
220600,kościerski,41562,54937,54935,2,17311,24251,24250,1,13,191,2,2,0,0,0,0,2,24249,2,2,24247,229,141,88,0,24018,9407,200,,,11672,,991,799,745,204
220700,kwidzyński,48733,63330,63330,0,25027,23707,23707,0,9,91,1,1,0,0,0,0,1,23708,1,1,23707,259,160,99,0,23448,10704,298,,,9315,,1276,920,725,210
220800,lęborski,38030,50291,50285,6,16471,21558,21555,3,13,768,2,2,0,0,0,0,2,21557,2,1,21556,211,123,88,0,21345,10318,172,,,7550,,1765,835,559,146
220900,malborski,37686,49323,49321,2,18388,19298,19297,1,28,80,0,0,0,0,0,0,0,19297,0,0,19297,185,119,66,0,19112,9804,202,,,6441,,1123,732,601,209
221000,nowodworski,22381,29512,29504,8,10368,12013,12009,4,4,1381,0,0,0,0,0,0,0,12013,0,0,12013,141,80,61,0,11872,6078,120,,,4209,,602,439,339,85
221100,pucki,49957,67732,67728,4,17542,32218,32216,2,13,2474,1,1,0,0,1,0,0,32218,0,2,32216,315,160,155,0,31901,15670,248,,,11518,,1833,1297,914,421
221200,słupski,57373,75852,75846,6,28481,28890,28887,3,22,1352,1,1,0,0,0,0,1,28891,1,0,28891,325,215,110,0,28566,12794,285,,,10541,,2996,943,731,276
221300,starogardzki,74551,96822,96821,1,34682,39858,39858,0,22,252,1,1,0,0,0,0,1,39855,1,1,39854,433,261,172,0,39421,15200,287,,,19136,,1737,1410,1206,445
221400,tczewski,66472,86605,86603,2,31268,35204,35202,2,18,110,2,2,0,0,0,0,2,35206,2,0,35206,335,234,101,0,34871,15377,362,,,14348,,1846,1555,960,423
221500,wejherowski,119935,157340,157334,6,46193,73742,73737,5,42,432,3,3,0,0,0,0,3,73738,2,9,73729,673,406,267,0,73056,33799,681,,,27071,,4746,3480,2428,851
221600,sztumski,25925,33386,33384,2,15032,10893,10892,1,17,38,0,0,0,0,0,0,0,10892,0,0,10892,136,97,39,0,10756,4879,142,,,4275,,631,365,354,110
226100,Gdańsk,267749,352188,352112,76,70688,197056,197013,43,104,2466,38,38,0,0,0,0,38,197020,38,17,197003,786,383,403,0,196217,118309,1957,,,52049,,9620,8025,4404,1853
226200,Gdynia,141859,185804,185781,23,35207,106645,106630,15,104,886,20,19,2,0,0,0,17,106621,17,14,106607,509,237,272,0,106098,60900,1174,,,27341,,8254,4531,2606,1292
226300,Słupsk,54240,69638,69636,2,21110,33132,33130,2,29,157,6,6,1,2,0,0,3,33132,3,1,33131,210,110,100,0,32921,16101,294,,,10683,,3668,1196,720,259
226400,Sopot,22086,28966,28938,28,3836,18259,18250,9,31,1280,2,2,0,0,0,0,2,18258,2,0,18258,58,25,33,0,18200,11159,167,,,4535,,1144,684,331,180
229800,statki,127,116,116,0,21,106,106,0,0,10,0,0,0,0,0,0,0,106,0,0,106,2,1,1,0,104,50,2,,,28,,7,14,3,0
240100,będziński,90985,118681,118671,10,36112,54873,54870,3,47,158,2,2,0,0,0,0,2,54872,2,4,54868,492,287,205,0,54376,24068,823,,,19625,,4779,2458,1975,648
240200,bielski,97578,128166,128161,5,33327,64251,64248,3,65,303,3,3,0,0,0,0,3,64248,3,2,64246,498,273,225,0,63748,23098,700,,,30261,,3289,2978,2705,717
240300,cieszyński,107420,141398,141383,15,42466,64948,64940,8,80,1302,6,6,0,0,0,0,6,64949,6,6,64943,494,285,209,0,64449,27649,730,,,27166,,3234,2835,2195,640
240400,częstochowski,83695,110326,110323,3,36873,46822,46819,3,43,260,4,4,0,0,0,0,4,46825,4,0,46825,498,288,210,0,46327,14043,550,,,25314,,2109,1807,2010,494
240500,gliwicki,68515,89199,89196,3,31671,36844,36842,2,18,111,0,0,0,0,0,0,0,36843,0,1,36842,369,215,154,0,36473,14183,411,,,16393,,1871,1671,1518,426
240600,kłobucki,52771,69430,69429,1,24306,28465,28465,0,30,150,3,3,0,0,0,0,3,28463,3,0,28463,317,210,107,0,28146,9596,306,,,14642,,1064,1178,1152,208
240700,lubliniecki,47853,61915,61915,0,23267,24586,24586,0,18,130,1,1,0,0,0,0,1,24587,1,0,24587,276,147,129,0,24311,8212,243,,,12501,,869,1102,1093,291
240800,mikołowski,57296,75298,75294,4,20319,36977,36975,2,44,73,3,3,0,0,0,0,3,36980,3,0,36980,270,159,111,0,36710,14641,359,,,16076,,1962,1696,1545,431
240900,myszkowski,43788,57749,57749,0,19006,24782,24782,0,24,142,2,2,0,0,0,0,2,24784,2,0,24784,208,120,88,0,24576,7301,267,,,13335,,1393,1087,948,245
241000,pszczyński,64749,84713,84713,0,22920,41829,41829,0,22,123,2,2,0,0,0,0,2,41831,2,0,41831,329,174,155,0,41502,12423,349,,,22933,,1770,1876,1756,395
241100,raciborski,64934,84389,84388,1,35193,29741,29740,1,28,101,4,4,0,0,0,0,4,29743,4,0,29743,247,144,103,0,29496,11676,322,,,13171,,1628,1428,1001,270
241200,rybnicki,45474,59924,59923,1,19163,26311,26310,1,22,37,1,1,0,0,0,0,1,26311,1,0,26311,275,151,124,0,26036,7563,268,,,14527,,1174,1159,1065,280
241300,tarnogórski,84394,110134,110131,3,34174,50218,50216,2,45,173,2,2,0,0,0,0,2,50215,2,1,50214,406,217,189,0,49808,20671,450,,,21201,,2689,2311,1873,613
241400,bieruńsko-lędziński,34767,45864,45864,0,12950,21817,21817,0,22,46,0,0,0,0,0,0,0,21817,0,1,21816,176,95,81,0,21640,5941,232,,,12513,,846,976,885,247
